family,twinno,earning,schyear,highqua,twihigh,age,LNandSE,part,full,self,married,own_exp,bweight,exp_par,parted,sm16,sm18
179,2,5,12,16,12,48,0,1,0,0,1,3,,,6,0,0
180,1,5,10,10,10,53,1,1,0,0,1,23,69,25,1,0,0
180,2,3.3333333,,10,10,53,1,1,0,0,1,8,,,,0,0
181,1,7.4786325,11,12,12,52,1,0,0,1,0,10,66,,,0,0
181,2,2.2435896,10,11,11,52,0,0,1,0,0,20,64,,,0,0
182,1,7.9375,17,17,17,52,1,0,1,0,1,7,100,6,7,1,1
182,2,11.950549,16,17,17,52,1,0,1,0,1,20,90,,7,0,1
183,1,6.040472,10,11,11,50,0,1,0,0,1,10,98,23,6,0,0
183,2,8.4841633,10,11,11,50,0,1,0,0,1,27,95,17,5,0,0
184,1,12.955668,13,17,12,53,0,0,1,0,1,25,50,15,8,0,0
184,2,5.8654809,12,12,17,53,1,0,1,0,1,15,52,4,,0,0
185,1,11.854945,11,12,12,46,1,0,1,0,1,30,61,6,1,0,0
185,2,9.4686813,11,12,12,46,1,0,1,0,1,16,77,2,4,0,0
186,1,7.03125,16,16,16,46,0,1,0,0,1,25,116,30,7,0,0
186,2,30,16,17,17,46,0,1,0,0,1,15,118,27,7,0,0
187,1,5.7692308,11,12,15,44,1,0,1,0,1,17,77,16,1,1,1
187,2,10.810811,11,16,10,44,1,0,1,0,1,24,67,5,1,0,0
188,1,5.3461537,10,10,10,49,1,0,1,0,1,14,95,13,4,1,1
188,2,5.3296704,10,10,10,49,1,0,1,0,1,18,101,35,1,0,0
189,1,12.993763,13,14,14,51,1,0,1,0,1,11,82,35,4,0,0
189,2,6.6199999,13,14,14,51,1,1,0,0,1,8,84,4,,0,0
190,1,12.820513,17,15,10,49,1,1,0,0,1,27,70,,5,0,0
190,2,9.6153851,13,17,10,49,0,1,0,0,1,,56,,,0,0
191,1,10.256411,13,17,12,52,0,0,1,0,1,10,70,3,,0,1
191,2,5,10,12,15,52,0,0,0,,1,37,86,38,4,1,1
192,1,8.9743586,17,17,17,48,0,0,1,0,1,20,80,23,7,0,0
192,2,10.239583,17,17,17,48,0,0,1,0,1,20,,26,7,0,0
193,1,5.3274426,10,10,11,47,0,0,1,0,1,,48,,8,0,0
193,2,5.671875,10,11,10,47,0,1,0,0,0,1,64,14,8,0,0
194,1,7.2115383,14,12,17,47,1,1,0,0,1,1,74,33,4,1,1
194,2,4,24,17,10,47,1,0,1,0,0,1,77,,,1,1
195,1,6.9230771,12,12,15,58,1,0,0,1,0,15,81,25,7,0,0
195,2,7.3000002,11,15,12,58,1,1,0,0,1,13,,45,7,0,0
196,1,6,13,12,12,39,1,1,0,0,0,1,93,30,4,0,0
196,2,1.575,13,12,12,39,1,0,0,0,1,,83,17,6,0,0
197,1,12.913736,17,17,17,30,0,0,0,0,1,7,98,5,8,0,0
197,2,9.7401667,16,17,17,30,0,0,1,0,1,5,106,13,6,0,0
198,1,9.6153851,11,10,10,45,1,0,1,0,0,17,64,,,0,0
198,2,7.6923075,11,12,12,45,0,1,0,0,1,11,,20,6,0,0
199,1,27.5,12,17,17,49,1,1,0,0,0,17,,,,0,1
199,2,9.89011,14,17,17,49,1,0,1,0,1,25,88,20,8,0,1
200,1,9.6153851,12,14,15,29,0,0,1,0,1,10,119,4,8,0,0
200,2,8.5758839,13,15,14,29,1,0,1,0,0,11,115,,,0,0
201,1,37.5,11,12,14,36,0,0,1,0,0,20,84,,,0,0
201,2,37.5,11,14,12,36,0,0,1,0,0,20,84,,,0,0
202,1,10.470374,13,15,17,31,0,0,1,0,0,13,103,,,0,1
202,2,10.817307,13,17,16,31,0,1,0,0,0,6,114,,,0,1
203,1,5.8499999,11,16,12,51,1,1,0,0,1,26,97,36,4,0,0
203,2,6.4560437,11,12,16,51,1,0,1,0,1,,103,,2,1,1
204,1,10.39501,19,17,17,41,1,0,1,0,1,9,59,15,8,0,0
204,2,5,17,17,17,41,0,0,0,,0,3,59,,,0,0
205,1,5.25,10,11,11,42,0,0,1,0,1,4,123,8,5,1,1
205,2,5.3000002,10,10,10,42,0,1,0,0,1,4,124,,,1,1
206,1,5.4945054,14,14,14,39,0,0,1,0,0,2,74,15,2,0,0
206,2,14.285714,14,14,14,39,1,0,1,0,0,13,65,15,7,0,0
207,1,7.719697,10,16,17,45,0,0,1,0,0,15,81,,,0,0
207,2,9.4890108,11,17,16,45,0,0,1,0,1,8,80,3,8,0,0
208,1,15.5,14,14,17,47,1,1,0,0,1,24,88,27,7,0,0
208,2,8.4615383,19,17,12,47,0,0,1,0,1,21,120,20,8,0,0
209,1,9.0811968,13,16,12,50,0,0,1,0,1,6,101,24,3,0,1
209,2,14.835165,14,12,16,50,0,0,1,0,1,21,86,3,,0,1
210,1,6.25,19,17,17,56,0,0,1,0,1,3,,5,,0,0
210,2,5.7692308,16,17,17,56,0,1,0,0,0,1,80,,,0,0
211,1,12.355769,16,16,16,45,0,1,0,0,1,23,80,30,8,0,0
211,2,10.32,16,16,16,45,0,1,0,0,1,23,80,27,7,0,0
212,1,10,13,14,14,41,0,1,0,0,1,8,94,8,4,0,0
212,2,8.6111107,13,14,14,41,0,1,0,0,1,4,91,26,1,0,0
213,1,4.4200001,11,11,11,54,0,1,0,0,1,6,128,55,4,0,0
213,2,4.7692308,11,12,14,54,0,0,1,0,1,17,,50,,0,0
214,1,5.3418803,24,17,17,37,1,0,0,1,0,5,,10,7,0,1
214,2,28.846153,,17,17,37,1,0,0,,0,,,,,0,0
