family,twinno,earning,schyear,highqua,twihigh,age,LNandSE,part,full,self,married,own_exp,bweight,exp_par,parted,sm16,sm18
41,2,9.2671518,12,15,15,39,0,0,1,0,0,14,92,,,0,0
42,1,4.8000002,13,15,15,43,0,1,0,0,1,1,96,15,3,0,0
42,2,15.625,13,16,15,43,0,1,0,0,1,3,96,7,7,0,0
43,1,3.8461537,,17,17,21,1,0,0,0,0,,99,,,0,0
43,2,5.3182693,,17,17,21,1,0,0,0,0,16,97,,,0,0
44,1,11.954262,13,17,17,33,1,0,1,0,0,15,80,15,6,0,0
44,2,12.110188,13,17,17,33,0,0,1,0,0,10,,,,0,0
45,1,35.45673,11,12,12,40,0,0,1,0,1,6,87,32,,0,0
45,2,7.3426576,11,12,12,40,0,0,1,0,1,14,92,2,1,0,0
46,1,11.562592,12,14,17,39,1,0,1,0,0,20,101,24,3,0,0
46,2,17.692308,16,17,12,39,1,0,1,0,1,,108,,,0,0
47,1,24.948025,19,17,17,49,0,0,1,0,1,25,44,29,6,0,0
47,2,11.057693,17,17,17,49,0,0,1,0,1,21,56,,7,0,0
48,1,6.7110186,16,17,17,23,0,0,1,0,0,1,74,,,0,0
48,2,7.8895464,16,17,17,23,0,0,1,0,0,1,75,,,0,0
49,1,5.25,18,12,17,24,0,0,1,0,0,1,114,,,1,1
49,2,10.848126,18,17,12,24,1,0,1,0,0,1,,,,1,1
50,1,4.4499998,11,12,12,34,0,1,0,0,0,1,53,15,4,0,1
50,2,4.6666665,11,12,12,34,1,1,0,0,0,2,39,1,3,0,0
51,1,8.8031254,16,16,16,57,1,0,1,0,1,36,88,1,,1,1
51,2,7.8571429,19,17,16,57,1,1,0,0,0,35,84,,,0,0
52,1,4.3000002,,16,14,21,1,1,0,0,0,2,64,,,0,0
52,2,3.5999999,,14,16,21,1,1,0,0,0,,86,,,0,1
53,1,9.6153851,18,17,17,26,1,0,1,0,0,2,98,12,8,0,0
53,2,7.6028624,18,17,17,26,1,0,1,0,0,2,90,,,0,0
54,1,9.0384617,12,12,12,36,0,1,0,0,1,3,84,18,4,0,1
54,2,8.1282148,11,12,12,36,0,0,0,0,0,21,84,18,6,0,0
55,1,8.4615383,13,17,16,30,0,0,1,0,1,7,71,,8,1,1
55,2,10.135135,13,16,17,30,0,0,1,0,0,10,71,6,7,1,1
56,1,16.875,20,17,17,25,0,0,0,0,0,0,94,5,,0,0
56,2,16.875,20,17,17,25,0,0,0,0,0,1,109,1,6,0,0
57,1,12.046875,17,17,17,39,0,0,0,0,1,2,103,27,7,1,1
57,2,11.904762,17,17,16,39,0,0,1,0,0,17,101,,,0,0
58,1,9.8752594,12,16,16,42,0,0,1,0,0,20,64,,,1,1
58,2,11.217949,13,16,15,42,0,0,1,0,1,21,70,8,8,1,1
59,1,12.5,17,17,17,40,0,1,0,0,1,17,94,15,7,0,0
59,2,17.839973,18,17,17,40,0,1,0,0,1,17,94,17,8,0,0
60,1,9,11,17,12,46,0,0,0,0,0,12,,18,6,0,0
60,2,6.7307692,11,12,17,46,0,0,1,0,0,,,,,0,0
61,1,6.3873625,12,12,12,43,1,1,0,0,1,9,90,19,7,1,1
61,2,11.639676,12,12,12,43,1,0,1,0,1,20,85,28,4,0,0
62,1,6.4968815,11,12,12,55,0,0,1,0,1,9,98,38,4,0,0
62,2,15.057714,11,11,10,55,0,0,1,0,1,,92,,4,0,1
63,1,9.3374996,16,16,17,49,0,0,1,0,0,28,92,,,0,0
63,2,10.037308,17,17,16,49,0,0,1,0,1,27,76,27,7,0,0
64,1,4.8055124,16,17,17,22,0,0,1,0,0,1,98,,,0,0
64,2,4.8055124,16,17,17,22,0,0,1,0,0,1,77,,,0,0
65,1,20.604395,12,12,12,54,1,0,0,1,1,24,,30,7,0,0
65,2,5.3846154,12,12,12,54,1,1,0,0,1,5,,19,7,0,0
66,1,10.550495,12,15,15,54,0,0,1,0,0,,89,,,0,0
66,2,5.6897116,12,15,15,54,0,1,0,0,1,11,96,,,1,1
67,1,8.6000004,10,12,12,54,0,1,0,0,1,11,44,2,2,0,0
67,2,7.02,10,12,11,54,0,1,0,0,1,17,48,32,2,0,0
68,1,13.513514,24,17,15,43,0,0,1,0,1,15,86,5,4,0,0
68,2,8.2417583,13,15,17,43,1,0,1,0,0,3,106,,,0,0
69,1,4.9984813,,11,11,52,0,0,1,0,1,5,,29,7,0,0
69,2,7.0512819,10,11,11,52,1,0,1,0,1,7,72,,,0,0
70,1,6.0096154,10,16,10,45,0,0,1,0,1,11,78,2,1,0,1
70,2,3.956044,10,10,16,45,0,0,1,0,1,1,82,20,1,0,1
71,1,6.25,15,11,12,43,0,0,0,1,1,,108,,,1,1
71,2,5.197505,11,12,12,43,0,0,1,0,0,,120,,,1,1
72,1,4.8648648,11,12,11,43,1,0,1,0,0,1,82,,,0,0
72,2,19.466665,10,11,11,43,1,1,0,0,1,1,52,3,4,0,0
73,1,5.5,11,14,16,50,0,1,0,0,1,3,82,20,2,0,0
73,2,6.1802197,11,16,12,50,0,0,1,0,1,8,86,46,,0,0
74,1,6,10,10,10,51,1,0,1,0,1,21,54,22,6,0,0
74,2,5.6500001,10,10,10,51,1,1,0,0,1,23,49,23,3,1,1
75,1,8.2417583,17,17,17,28,1,0,1,0,1,6,,7,8,0,0
75,2,14.17004,19,17,17,28,1,0,1,0,1,5,65,6,6,0,1
76,1,10.256411,17,17,17,35,1,1,0,0,1,12,108,19,7,0,0
76,2,27.061966,17,17,17,35,0,0,1,0,0,12,81,,,0,0
77,1,7.2085018,12,17,12,34,1,0,0,0,0,4,108,,,0,1
77,2,5.9407482,11,12,12,34,1,0,1,0,0,11,106,,,0,1
78,1,10.180996,18,17,17,27,0,0,1,0,1,6,102,8,8,0,0
78,2,7.5385132,18,17,17,27,0,0,1,0,1,4,105,4,5,0,0
79,1,5.9771309,11,12,12,25,0,0,1,0,0,6,87,,,1,1
79,2,8.2435894,11,12,12,25,0,0,0,0,0,7,92,4,3,1,1
80,1,7.2115383,11,12,12,27,0,0,1,0,0,5,92,,,0,1
80,2,5.6706114,11,14,12,27,0,0,1,0,1,3,87,11,8,0,1
81,1,5.2197804,13,16,16,29,0,0,1,0,1,9,69,6,2,0,0
81,2,2.5,12,12,15,29,1,0,,0,1,3,51,12,3,0,1
82,1,21.559252,20,17,17,38,0,0,1,0,0,13,67,2,4,0,0
82,2,24.038462,16,17,17,38,0,0,0,,1,4,71,11,7,0,0
83,1,6.4903846,13,14,14,24,0,0,1,0,0,1,86,,,1,1
83,2,7.2115383,13,14,14,24,0,0,1,0,0,1,84,,,0,0
84,1,6.6105771,10,11,11,31,0,0,1,0,0,2,116,5,1,1,1
84,2,6.25,,12,12,31,0,1,0,0,1,4,112,11,6,0,1
85,1,5.4166665,11,11,11,48,0,1,0,0,1,9,65,5,7,0,0
85,2,3.9679487,24,11,11,48,0,0,1,0,1,1,37,32,4,1,1
86,1,6.1757984,12,16,12,28,0,0,1,0,1,4,86,8,4,0,0
86,2,6.3071728,12,12,16,28,0,0,1,0,0,11,78,,,0,0
87,1,9.0374222,12,16,14,33,0,0,1,0,1,8,,4,8,0,0
87,2,9.1476088,13,14,16,33,0,0,1,0,1,1,84,4,,0,0
88,1,38.46154,18,17,17,54,1,0,0,1,1,30,108,34,7,0,0
88,2,15.10989,20,17,17,54,1,0,1,0,0,20,84,,,0,0
89,1,7.5374999,13,12,12,36,0,0,1,0,1,17,93,9,1,0,1
89,2,7.5374999,10,12,12,36,0,0,1,0,0,17,81,,,0,0
90,1,9.0913372,13,15,16,47,1,1,0,0,1,25,105,36,3,0,1
90,2,6.9444447,13,16,15,47,0,1,0,0,1,3,90,29,7,0,0
91,1,8.6996336,21,17,17,32,1,0,1,0,1,5,100,2,8,0,0
91,2,9.6153851,17,17,17,32,1,0,1,0,0,3,126,4,7,0,0
92,1,10.62753,12,16,14,32,0,0,1,0,0,14,,,,0,0
92,2,8.6538458,11,12,16,32,0,0,1,0,1,1,,,,0,0
93,1,6.3795271,16,17,12,23,0,0,1,0,0,0,90,,,0,0
93,2,7.1960297,13,12,17,23,0,0,1,0,0,5,96,10,4,0,0
94,1,11.25,16,16,12,43,0,1,0,0,1,4,80,30,7,0,1
94,2,7.5,,12,16,43,0,1,0,0,1,3,82,,8,1,1
95,1,9.615571,17,17,17,27,0,0,1,0,1,4,65,,7,0,0
95,2,9.6340809,16,17,17,27,0,0,1,0,1,4,67,7,6,0,0
96,1,6.5161123,10,11,11,53,0,0,1,0,1,22,48,7,4,0,0
96,2,7.2765074,10,11,11,53,0,0,1,0,1,,78,,7,0,0
97,1,6.25,11,17,12,45,0,1,0,0,0,9,100,,,1,1
97,2,5.4945054,13,12,17,45,0,0,0,0,1,2,96,30,1,1,1
98,1,9.0811968,12,12,15,33,0,0,1,0,0,15,,,,0,0
98,2,8.1340952,13,15,10,33,0,0,1,0,0,15,70,,,0,0
99,1,7.3804574,11,12,14,44,0,0,1,0,1,8,101,20,4,0,0
99,2,6.8419957,11,14,12,44,1,0,1,0,0,,97,4,6,0,0
100,1,6.0336537,10,10,14,50,1,0,1,0,0,5,,,,1,1
100,2,6.4799333,10,12,11,50,0,0,1,0,0,1,,28,7,1,1
101,1,8.6538458,16,17,17,40,0,0,1,0,0,14,99,,,0,0
101,2,13.938101,17,17,17,40,0,1,0,0,1,16,68,,8,0,0
102,1,7.7702703,11,15,17,51,0,0,1,0,0,25,96,,,0,0
102,2,5,11,17,15,51,0,0,0,0,0,0,,,,1,1
103,1,9.2565088,16,17,17,51,0,0,0,0,1,19,,1,7,0,0
103,2,14.553015,11,17,17,51,0,0,1,0,0,8,88,5,6,0,0
104,1,2.6647437,,12,15,52,0,0,1,0,1,37,109,41,4,0,0
104,2,96.84375,10,14,10,52,0,0,1,0,1,20,55,5,1,0,0
105,1,10.439561,10,11,12,58,1,0,1,0,0,40,100,,,0,0
105,2,5.0099416,11,12,11,58,0,1,0,0,0,3,86,,,0,0
106,1,5.7172556,11,11,17,45,0,0,1,0,1,9,116,30,7,0,0
106,2,10.39501,10,17,11,45,0,0,1,0,1,10,,30,4,0,0
107,1,15.255245,16,16,16,43,0,0,1,0,0,22,120,,,0,0
107,2,11.675824,17,16,16,43,0,1,0,0,1,21,120,18,4,0,0
108,1,13.403263,16,17,15,47,0,0,1,0,1,26,104,27,7,0,0
108,2,9.3555098,11,15,17,47,0,0,0,0,1,11,107,34,5,0,0
109,1,17.315674,14,16,12,49,0,0,1,0,1,15,81,24,6,0,0
109,2,6.6930556,12,12,16,49,0,1,0,0,1,25,65,24,4,0,0
110,1,10.070375,11,16,16,46,0,1,0,0,1,23,,28,8,0,0
110,2,9.6153851,11,15,15,46,0,0,1,0,1,12,,1,8,0,0
111,1,7.6923075,11,12,16,31,1,0,1,0,1,11,86,16,7,0,0
111,2,10.256411,16,16,12,31,1,0,1,0,0,8,91,,,1,1
112,1,12.820513,19,17,17,36,1,0,0,0,1,10,70,13,7,0,0
112,2,20,17,17,17,36,0,0,0,0,0,13,100,,,0,0
113,1,12.980769,12,12,11,41,0,0,1,0,1,12,,,8,0,0
113,2,8.9445438,11,12,12,41,0,0,1,0,1,10,52,,,1,1
114,1,9.166667,11,15,15,47,0,0,1,0,1,30,66,25,4,0,1
114,2,4.9047618,11,15,15,47,0,1,0,0,0,30,64,,,0,0
115,1,7.71,15,15,14,41,0,1,0,0,1,6,92,,7,0,0
115,2,7.449584,11,14,15,41,0,0,1,0,1,5,92,,7,0,0
116,1,5.4000001,11,12,12,32,1,0,1,0,0,12,85,,,0,0
116,2,7.445055,11,12,12,32,1,0,1,0,0,1,91,,,0,1
117,1,10.164835,11,12,12,27,1,0,1,0,0,2,65,,,0,0
117,2,9.6153851,11,12,12,27,1,0,0,,0,,,,8,1,1
118,1,8.6538458,13,16,16,44,0,0,1,0,1,25,50,23,7,0,1
118,2,10.307566,15,17,16,44,1,0,1,0,1,3,52,13,8,0,0
119,1,7.2527471,11,12,12,43,0,0,1,0,1,8,88,36,1,1,1
119,2,7.3076925,11,12,12,43,1,0,1,0,1,10,80,24,3,1,1
120,1,7.5910931,10,12,10,55,1,0,1,0,1,26,,,2,1,1
120,2,6.5999999,10,17,10,55,1,0,1,0,0,32,,,,1,1
121,1,3.75,10,15,10,51,1,1,0,0,1,10,69,30,4,0,0
121,2,2.8029397,10,10,15,51,1,1,0,0,1,10,70,19,7,0,0
122,1,5.7199998,13,14,14,50,1,1,0,0,1,20,90,,8,0,0
122,2,11.813187,13,14,14,50,1,0,1,0,1,,,,8,0,0
123,1,75,17,16,12,28,0,0,1,0,0,1,96,4,8,0,0
123,2,8.0561333,14,16,16,28,0,0,1,0,1,3,106,4,2,0,0
124,1,19.23077,18,17,16,35,1,0,1,0,0,10,75,,,0,0
124,2,12.019231,15,16,17,35,1,0,1,0,0,4,65,,,0,0
125,1,14.189189,16,17,17,47,1,0,1,0,1,14,88,23,7,1,1
125,2,9.6153851,17,17,17,47,0,1,0,0,1,19,,,7,0,0
126,1,5.4861536,12,12,10,59,0,1,0,0,0,10,,,,0,0
126,2,4.75,11,11,10,59,1,0,1,0,1,6,110,44,7,1,1
127,1,13.621795,17,17,17,40,0,0,0,0,1,12,85,11,7,0,0
127,2,9.6153851,24,17,17,40,0,0,1,0,1,9,119,15,7,0,0
128,1,11.835165,13,16,16,43,0,0,0,0,0,20,106,20,8,0,0
128,2,90.277779,14,16,16,43,0,0,0,0,1,1,98,5,7,0,0
129,1,5.9523811,18,17,17,24,0,0,1,0,0,3,99,,,0,0
129,2,5.8139534,18,17,17,24,0,0,1,0,0,3,96,,,0,0
130,1,5.0016665,15,16,17,50,0,1,0,0,1,10,80,4,,0,1
130,2,8.6538458,24,17,14,50,1,0,,0,1,5,90,30,,0,0
131,1,10.39501,16,16,17,52,0,0,1,0,1,30,64,23,7,0,0
131,2,7.0512819,14,17,16,52,0,0,0,0,1,25,81,11,,0,0
132,1,10.714286,13,16,16,27,1,0,1,0,0,8,,,,0,0
