	(1)	(2)	(3)
VARIABLES	a-i	log	log
			
classize	0.134***	-0.000700**	-0.000700**
	(0.0252)	(0.000303)	(0.000303)
pct_dis		-0.00483***	-0.00483***
		(0.000146)	(0.000146)
Constant	68.63***	4.368***	4.368***
	(0.784)	(0.0101)	(0.0101)
			
Observations	1,967	1,967	1,967
R-squared	0.014	0.369	0.369
Standard errors in parentheses			
*** p<0.01, ** p<0.05, * p<0.1			
